raw_name,synset,category,source
3d_visualization,whole.visualization,whole,extended
abstract_shapes,mark.shape,mark,extended
animal_shapes,mark.shape,mark,extended
annotations_or_facts,text.annotation,text,extended
biological_content,content.domain,content,extended
black_element,mark.element,mark,extended
black_elements,mark.element,mark,extended
blue_box,structure.panel,structure,extended
blue_colors,property.color,property,extended
boxes,mark.shape,mark,extended
branches,structure.link,structure,extended
calligraphy,property.font_style,property,extended
categorization_scheme,content.category,content,extended
circular_shapes,mark.shape,mark,extended
cluster,structure.region,structure,extended
code_block,structure.panel,structure,extended
codes_numbers,content.number,content,extended
colored_segments,mark.color_segment,mark,extended
colored_surface,mark.area,mark,extended
columns,mark.bar,mark,extended
columns_and_rows,structure.grid,structure,extended
components,mark.element,mark,extended
computer_screen,structure.panel,structure,extended
content,content.data,content,extended
context,content.domain,content,extended
continents,structure.region,structure,extended
copies,content.data,content,extended
countries,structure.region,structure,extended
country_shapes,mark.shape,mark,extended
crop_type,content.category,content,extended
cross_shape,mark.symbol,mark,extended
cubes,mark.shape,mark,extended
dark_regions,structure.region,structure,extended
dashed_box,structure.panel,structure,extended
datapoints,content.data,content,extended
dataset,content.data,content,extended
dataset_1,content.data,content,extended
dataset_2,content.data,content,extended
design_elements,mark.element,mark,extended
diagram,whole.visualization,whole,extended
dimension_matrix,structure.grid,structure,extended
distribution,content.data,content,extended
divisions,structure.grid,structure,extended
draw_style,property.encoding,property,extended
earth_geography,structure.region,structure,extended
earth_image,whole.visualization,whole,extended
empty_spaces,structure.background,structure,extended
entities,content.data,content,extended
field_information,content.domain,content,extended
figures,whole.visualization,whole,extended
font,property.font_style,property,extended
font_styling,property.font_style,property,extended
fonts,property.font_style,property,extended
football_imagery,content.domain,content,extended
formula_symbol,mark.symbol,mark,extended
frame,structure.panel,structure,extended
geographic_regions,structure.region,structure,extended
geographic_shapes,structure.region,structure,extended
geometric_shapes,mark.shape,mark,extended
gradient,property.color,property,extended
graphic,whole.visualization,whole,extended
graphic_design,whole.visualization,whole,extended
graphic_element,mark.element,mark,extended
graphic_elements,mark.element,mark,extended
graphical_marks,mark.element,mark,extended
graphics,whole.visualization,whole,extended
green_elements,mark.element,mark,extended
groups,content.category,content,extended
half_shading,property.opacity,property,extended
heatmap,whole.visualization,whole,extended
hidden_content,content.detail,content,extended
hierarchical_structure,structure.hierarchy,structure,extended
hierarchy_levels,structure.hierarchy,structure,extended
hierarchy_structure,structure.hierarchy,structure,extended
highlighted_countries,structure.region,structure,extended
highlighted_words,text.label,text,extended
histogram,whole.visualization,whole,extended
imagery,whole.visualization,whole,extended
indicators,mark.symbol,mark,extended
individual_panel,structure.panel,structure,extended
ink_marks,mark.element,mark,extended
interactions,structure.link,structure,extended
intersections,structure.link,structure,extended
key_patterns,structure.pattern,structure,extended
layers,structure.layout,structure,extended
left_image,structure.panel,structure,extended
letters,text.label,text,extended
lineages,structure.hierarchy,structure,extended
magnification_inset,structure.panel,structure,extended
marks,mark.element,mark,extended
mathematical_formulae,text.annotation,text,extended
matrix,structure.grid,structure,extended
measurements,content.number,content,extended
metric_representation,property.encoding,property,extended
metrics,content.number,content,extended
midpoint_values,content.number,content,extended
motion,property.encoding,property,extended
multi_panel_figure,structure.layout,structure,extended
negative_space,structure.background,structure,extended
network,structure.link,structure,extended
numeric_scale,furniture.scale,furniture,extended
numeric_values,content.number,content,extended
numerical_values,content.number,content,extended
oval_shape,mark.shape,mark,extended
overall_image,whole.visualization,whole,extended
overall_visualization,whole.visualization,whole,extended
pacific_ocean,structure.region,structure,extended
parameters,content.data,content,extended
paths,structure.link,structure,extended
phylogenetic_tree,structure.hierarchy,structure,extended
pixel,mark.element,mark,extended
pixel_elements,mark.element,mark,extended
plot,whole.visualization,whole,extended
points_of_interest,mark.point,mark,extended
presentation_logic,structure.layout,structure,extended
process_path,structure.link,structure,extended
ranking_structure,structure.hierarchy,structure,extended
ranking_system,structure.hierarchy,structure,extended
ratio,content.number,content,extended
rectangular_shapes,mark.shape,mark,extended
red_boxes,structure.panel,structure,extended
red_colors,property.color,property,extended
relationships,structure.link,structure,extended
scale,furniture.scale,furniture,extended
sections,structure.region,structure,extended
seismic_waveform,mark.line,mark,extended
semantic_content,content.domain,content,extended
shading,property.color,property,extended
small_details,content.detail,content,extended
small_words,text.label,text,extended
spatial_dimension,structure.layout,structure,extended
spirals,mark.shape,mark,extended
spots,mark.point,mark,extended
squares,mark.shape,mark,extended
statistics,content.data,content,extended
sticks,mark.bar,mark,extended
stimulus,whole.visualization,whole,extended
structure,structure.layout,structure,extended
subject_matter,content.domain,content,extended
subplots,structure.panel,structure,extended
table,structure.grid,structure,extended
terminology,content.domain,content,extended
texture,property.texture,property,extended
time_period,content.category,content,extended
timeline,furniture.axes,furniture,extended
typography,property.font_style,property,extended
values,content.number,content,extended
variables,content.data,content,extended
visual_cues,property.encoding,property,extended
visual_display,whole.visualization,whole,extended
visual_element,mark.element,mark,extended
visual_elements,mark.element,mark,extended
visual_items,mark.element,mark,extended
visual_marks,mark.element,mark,extended
volume,property.size,property,extended
wavelet_coefficients,content.data,content,extended
white_space,structure.background,structure,extended
word_frequency,content.data,content,extended
y_axis_left,furniture.axes,furniture,extended
y_axis_right,furniture.axes,furniture,extended
yellow_elements,mark.element,mark,extended
